education,experience,license,advancement,qualities,Occupation
"Most heavy vehicle and mobile equipment service technicians have a high school diploma or equivalent. High school courses in automotive repair, electronics, physics, and welding provide a strong foundation for a service technician’s career. However, high school graduates often need further training to become fully qualified.
",,"Some manufacturers offer certification in specific repair methods or equipment. Although not required, certification can demonstrate a service technician’s competence and usually commands higher pay.
",,"Dexterity.Heavy vehicle and mobile equipment service technicians must perform many tasks, such as disassembling engine parts, connecting or attaching components, and using hand tools, with a steady hand and good hand-eye coordination.
",Rail car repairers
"Motorboat and outdoor power equipment mechanics typically begin work with a high school diploma and learn on the job, although some of them seek postsecondary education. High school or vocational school courses in small engine repair and automobile mechanics are often beneficial.
",,"Many motorboat and motorcycle manufacturers offer certification specific to their own models, and certification from theEquipment & Engine Training Councilis the recognized industry credential for outdoor power equipment mechanics. Although not required, certification can demonstrate a mechanic’s competence and usually brings higher pay.
",,"Customer-service skills.Small engine mechanics frequently discuss problems and necessary repairs with their customers. They must be courteous, be good listeners, and always remain ready to answer customers’ questions.
",Motorboat mechanics and service technicians
"Motorboat and outdoor power equipment mechanics typically begin work with a high school diploma and learn on the job, although some of them seek postsecondary education. High school or vocational school courses in small engine repair and automobile mechanics are often beneficial.
",,"Many motorboat and motorcycle manufacturers offer certification specific to their own models, and certification from theEquipment & Engine Training Councilis the recognized industry credential for outdoor power equipment mechanics. Although not required, certification can demonstrate a mechanic’s competence and usually brings higher pay.
",,"Customer-service skills.Small engine mechanics frequently discuss problems and necessary repairs with their customers. They must be courteous, be good listeners, and always remain ready to answer customers’ questions.
",Motorcycle mechanics
"Motorboat and outdoor power equipment mechanics typically begin work with a high school diploma and learn on the job, although some of them seek postsecondary education. High school or vocational school courses in small engine repair and automobile mechanics are often beneficial.
",,"Many motorboat and motorcycle manufacturers offer certification specific to their own models, and certification from theEquipment & Engine Training Councilis the recognized industry credential for outdoor power equipment mechanics. Although not required, certification can demonstrate a mechanic’s competence and usually brings higher pay.
",,"Customer-service skills.Small engine mechanics frequently discuss problems and necessary repairs with their customers. They must be courteous, be good listeners, and always remain ready to answer customers’ questions.
",Outdoor power equipment and other small engine mechanics
"HVAC technicians typically need postsecondary instruction from technical and trade schools or community colleges that offer programs in heating, air conditioning, and refrigeration. These programs generally last from 6 months to 2 years and lead to a certificate or an associate’s degree.
",,"TheU.S. Environmental Protection Agency(EPA) requires nearly all HVAC technicians to be certified in proper refrigerant handling. Certification requires passing an exam, which is typically included as part of completing a postsecondary HVACR program.
",,"Customer-service skills.HVAC technicians often work in customers’ homes or business offices, so they must be friendly, polite, and punctual.
","Heating, air conditioning, and refrigeration mechanics and installers"
"Industrial machinery mechanics, machinery maintenance workers, and millwrights generally need at least a high school diploma or equivalent. Some mechanics and millwrights complete a 2-year associate’s degree program in industrial maintenance. Industrial maintenance programs may include courses such as welding, mathematics, hydraulics, and pneumatics.
",,,,"Manual dexterity.Industrial machinery mechanics, machinery maintenance workers, and millwrights must have a steady hand and good hand–eye coordination when handling very small parts.
",Industrial machinery mechanics
"Industrial machinery mechanics, machinery maintenance workers, and millwrights generally need at least a high school diploma or equivalent. Some mechanics and millwrights complete a 2-year associate’s degree program in industrial maintenance. Industrial maintenance programs may include courses such as welding, mathematics, hydraulics, and pneumatics.
",,,,"Manual dexterity.Industrial machinery mechanics, machinery maintenance workers, and millwrights must have a steady hand and good hand–eye coordination when handling very small parts.
","Maintenance workers, machinery"
"Industrial machinery mechanics, machinery maintenance workers, and millwrights generally need at least a high school diploma or equivalent. Some mechanics and millwrights complete a 2-year associate’s degree program in industrial maintenance. Industrial maintenance programs may include courses such as welding, mathematics, hydraulics, and pneumatics.
",,,,"Manual dexterity.Industrial machinery mechanics, machinery maintenance workers, and millwrights must have a steady hand and good hand–eye coordination when handling very small parts.
",Millwrights
"Electrical line installers and repairers typically need a high school diploma or equivalent. Employers may prefer to hire candidates who have basic knowledge of algebra and trigonometry. In addition, technical knowledge of electricity or electronics obtained through military service, vocational programs, or community colleges may be helpful.
",,"Although not mandatory, certification is available for electrical power-line installers and repairers. For example, theElectrical Training Allianceofferscertificationfor electrical power-line installation as part of its apprenticeship program.
","After 3 or 4 years of working, qualified electrical power-line apprentices reach the journey level. A journey-level worker is no longer considered an apprentice and can perform most tasks without supervision.
","Ability to work at heights.Electrical power-line installers and repairers must be comfortable working at great heights. They may work from ladders or bucket lifts and climb utility poles.
",Electrical power-line installers and repairers
"Telecommunications technicians typically need at least a high school diploma or equivalent. Employers of telecommunications equipment installers and repairers and radio, cellular, and tower equipment installers and repairers may prefer to hire candidates who have some postsecondary education in electronics, telecommunications, or computer networking. Some employers prefer to hire candidates who have an associate’s degree.
",,"Manufacturer or employer-provided certification may be helpful for some telecom technicians. For example, theSociety of Cable Telecommunications Engineersoffers theBroadband Telecom Center Specialist(BTCS) certification, and theFiber Optic Associationoffers multiple fiber opticcertificationsfor telecommunications line installers and repairers.
",,"Ability to work at heights.Telecom technicians must be comfortable working at heights on lifts, telecommunications towers, and other elevated surfaces.
",Telecommunications line installers and repairers
"Education requirements for medical equipment repairers vary, depending on a worker’s experience and area of specialization. However, the most common education is an associate’s degree in biomedical equipment technology or engineering. Those who repair less-complicated equipment, such as hospital beds and electric wheelchairs, may learn entirely through on-the-job training, sometimes lasting up to 1 year. Repairers who work on more sophisticated equipment, such as CAT scanners and defibrillators, may need a bachelor’s degree.
",,"Although not mandatory, certification can demonstrate competence and professionalism, making candidates more attractive to employers. It can also increase a repairer’s opportunities for advancement. Most manufacturers and employers, particularly those in hospitals, often pay for their in-house medical repairers to become certified.
",,"Communication skills.Medical equipment repairers must effectively communicate technical information by telephone, in writing, and in person when speaking to clients, supervisors, and co-workers.
",Medical equipment repairers
"Many maintenance and repair workers learn some basic skills in high school shop or technical education classes, postsecondary trade or vocational schools, or community colleges.
",,"Licensing requirements vary by state and locality. For more complex tasks, workers may need to be licensed in a particular specialty, such as electrical or plumbing work.
","Some maintenance and repair workers decide to train in one specific craft and become craftworkers, such aselectricians,heating and air-conditioning mechanics, orplumbers.
","Customer-service skills.These workers interact with customers on a regular basis. They need to be friendly and able to address customers’ questions.
","Maintenance and repair workers, general"
"Windtechs typically attend technical schools or community colleges, where they may complete a postsecondary certificate in wind energy technology or choose to earn an associate’s degree.
",,"Although not mandatory, professional certification allows workers to demonstrate a certain level of knowledge and competence. Certification subjects for windtechs include workplace electrical safety, tower climbing, and self-rescue. Employers often direct workers to the certifications they need.
",,"Ability to work at heights.Windtechs must be comfortable working at heights to maintain or repair turbines. Tower ladders are usually at least 200 feet high.
",Wind turbine service technicians
"Assemblers and fabricators typically need a high school diploma or equivalent to enter the occupation.
",,"TheFabricators & Manufacturers Association, International(FMA) offers certificates and training programs in fabrication, coil processing, and other related topics. Although not required, these credentials demonstrate competence and professionalism and may help a candidate advance in the occupation.
","Experienced assemblers and fabricators may advance to become asupervisorormanager.
","Color vision.Assemblers and fabricators who make electrical and electronic products must distinguish different colors, because the wires they often work with are color coded.
","Aircraft structure, surfaces, rigging, and systems assemblers"
"Assemblers and fabricators typically need a high school diploma or equivalent to enter the occupation.
",,"TheFabricators & Manufacturers Association, International(FMA) offers certificates and training programs in fabrication, coil processing, and other related topics. Although not required, these credentials demonstrate competence and professionalism and may help a candidate advance in the occupation.
","Experienced assemblers and fabricators may advance to become asupervisorormanager.
","Color vision.Assemblers and fabricators who make electrical and electronic products must distinguish different colors, because the wires they often work with are color coded.
","Coil winders, tapers, and finishers"
"Assemblers and fabricators typically need a high school diploma or equivalent to enter the occupation.
",,"TheFabricators & Manufacturers Association, International(FMA) offers certificates and training programs in fabrication, coil processing, and other related topics. Although not required, these credentials demonstrate competence and professionalism and may help a candidate advance in the occupation.
","Experienced assemblers and fabricators may advance to become asupervisorormanager.
","Color vision.Assemblers and fabricators who make electrical and electronic products must distinguish different colors, because the wires they often work with are color coded.
","Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers"
"Assemblers and fabricators typically need a high school diploma or equivalent to enter the occupation.
",,"TheFabricators & Manufacturers Association, International(FMA) offers certificates and training programs in fabrication, coil processing, and other related topics. Although not required, these credentials demonstrate competence and professionalism and may help a candidate advance in the occupation.
","Experienced assemblers and fabricators may advance to become asupervisorormanager.
","Color vision.Assemblers and fabricators who make electrical and electronic products must distinguish different colors, because the wires they often work with are color coded.
",Engine and other machine assemblers
"Although metal and plastic machine workers typically need a high school diploma, CNC tool programmers usually need coursework beyond high school. Some community colleges and other schools offer courses and certificate programs in operating metal and plastics machines including CNC programming.
",,"Certification can show competence and can be helpful for advancement. TheNational Institute for Metalworking Skills(NIMS) offers certification in numerous metalworking specializations.
","With skill and experience, workers may advance to positions that offer higher pay and more responsibility. It is common for machine operators to move into setup or machinery maintenance positions. Setup workers may becomeindustrial machinery mechanics and maintenance workers,machinists, ortool and die makers.
","Computer skills.Metal and plastic machine workers must be able to use programmable devices, computers, and robots on the factory floor.
",Computer numerically controlled tool operators
"Although metal and plastic machine workers typically need a high school diploma, CNC tool programmers usually need coursework beyond high school. Some community colleges and other schools offer courses and certificate programs in operating metal and plastics machines including CNC programming.
",,"Certification can show competence and can be helpful for advancement. TheNational Institute for Metalworking Skills(NIMS) offers certification in numerous metalworking specializations.
","With skill and experience, workers may advance to positions that offer higher pay and more responsibility. It is common for machine operators to move into setup or machinery maintenance positions. Setup workers may becomeindustrial machinery mechanics and maintenance workers,machinists, ortool and die makers.
","Computer skills.Metal and plastic machine workers must be able to use programmable devices, computers, and robots on the factory floor.
",Computer numerically controlled tool programmers
"A high school diploma is typically required to enter the occupation. Training in computer applications and math may enhance employment prospects.
",,"Although not required, credentials often demonstrate competence and professionalism. They also may help a candidate advance in the occupation.
","With experience, skilled woodworkers may advance to other positions that offer greater responsibility. For example, they may be promoted to team lead or floor supervisor, positions in which they help to oversee the work of other woodworkers.
","Detail oriented.Woodworkers must pay attention to details in order to meet specifications and to keep themselves safe.
",Cabinetmakers and bench carpenters
"A high school diploma is typically required to enter the occupation. Training in computer applications and math may enhance employment prospects.
",,"Although not required, credentials often demonstrate competence and professionalism. They also may help a candidate advance in the occupation.
","With experience, skilled woodworkers may advance to other positions that offer greater responsibility. For example, they may be promoted to team lead or floor supervisor, positions in which they help to oversee the work of other woodworkers.
","Detail oriented.Woodworkers must pay attention to details in order to meet specifications and to keep themselves safe.
",Furniture finishers
"A high school diploma is typically required to enter the occupation. Training in computer applications and math may enhance employment prospects.
",,"Although not required, credentials often demonstrate competence and professionalism. They also may help a candidate advance in the occupation.
","With experience, skilled woodworkers may advance to other positions that offer greater responsibility. For example, they may be promoted to team lead or floor supervisor, positions in which they help to oversee the work of other woodworkers.
","Detail oriented.Woodworkers must pay attention to details in order to meet specifications and to keep themselves safe.
","Sawing machine setters, operators, and tenders, wood"
"A high school diploma is typically required to enter the occupation. Training in computer applications and math may enhance employment prospects.
",,"Although not required, credentials often demonstrate competence and professionalism. They also may help a candidate advance in the occupation.
","With experience, skilled woodworkers may advance to other positions that offer greater responsibility. For example, they may be promoted to team lead or floor supervisor, positions in which they help to oversee the work of other woodworkers.
","Detail oriented.Woodworkers must pay attention to details in order to meet specifications and to keep themselves safe.
","Woodworking machine setters, operators, and tenders, except sawing"
"Power plant operators, distributors, and dispatchers typically need at least a high school diploma or the equivalent to enter the occupation. However, employers may prefer to hire candidates who have a postsecondary degree, such as from a college or vocational school.
","Nuclear power reactor operators gain experience working as a nuclear equipment operator or in a related occupation, such asnuclear technicianor technician in a nonnuclear power-generating facility. Other nuclear power reactor operators gain experience by serving in a related role in theU.S. Navy.
","Nuclear power reactor operators must be licensed through the NRC. They typically begin working as unlicensed operators in nuclear power plants, where they gain the required knowledge and experience to start the licensing process. To become licensed, operators must meet training and experience requirements, pass a medical exam, and pass the NRC licensing exam. To keep their license, operators must pass annual and periodic exams. Licenses are not transferrable between plants, so an operator must get a new license to work in another facility.
","With training and experience, power plant operators and power plant distributors and dispatchers may become shift supervisors, trainers, or consultants.
","Communication skills.Power plant operators, distributors, and dispatchers may work on a team and must provide clear instructions on operating procedures, on repairs, and when responding to emergencies.
",Nuclear power reactor operators
"Power plant operators, distributors, and dispatchers typically need at least a high school diploma or the equivalent to enter the occupation. However, employers may prefer to hire candidates who have a postsecondary degree, such as from a college or vocational school.
","Nuclear power reactor operators gain experience working as a nuclear equipment operator or in a related occupation, such asnuclear technicianor technician in a nonnuclear power-generating facility. Other nuclear power reactor operators gain experience by serving in a related role in theU.S. Navy.
","Nuclear power reactor operators must be licensed through the NRC. They typically begin working as unlicensed operators in nuclear power plants, where they gain the required knowledge and experience to start the licensing process. To become licensed, operators must meet training and experience requirements, pass a medical exam, and pass the NRC licensing exam. To keep their license, operators must pass annual and periodic exams. Licenses are not transferrable between plants, so an operator must get a new license to work in another facility.
","With training and experience, power plant operators and power plant distributors and dispatchers may become shift supervisors, trainers, or consultants.
","Communication skills.Power plant operators, distributors, and dispatchers may work on a team and must provide clear instructions on operating procedures, on repairs, and when responding to emergencies.
",Power distributors and dispatchers
"Power plant operators, distributors, and dispatchers typically need at least a high school diploma or the equivalent to enter the occupation. However, employers may prefer to hire candidates who have a postsecondary degree, such as from a college or vocational school.
","Nuclear power reactor operators gain experience working as a nuclear equipment operator or in a related occupation, such asnuclear technicianor technician in a nonnuclear power-generating facility. Other nuclear power reactor operators gain experience by serving in a related role in theU.S. Navy.
","Nuclear power reactor operators must be licensed through the NRC. They typically begin working as unlicensed operators in nuclear power plants, where they gain the required knowledge and experience to start the licensing process. To become licensed, operators must meet training and experience requirements, pass a medical exam, and pass the NRC licensing exam. To keep their license, operators must pass annual and periodic exams. Licenses are not transferrable between plants, so an operator must get a new license to work in another facility.
","With training and experience, power plant operators and power plant distributors and dispatchers may become shift supervisors, trainers, or consultants.
","Communication skills.Power plant operators, distributors, and dispatchers may work on a team and must provide clear instructions on operating procedures, on repairs, and when responding to emergencies.
",Power plant operators
"Stationary engineers and boiler operators need at least a high school diploma. Students should take courses in math, science, and mechanical and technical subjects.
",,"Some state and local governments require licensure for stationary engineers and boiler operators. These governments typically have several classes of stationary engineer and boiler operator licenses. Each class specifies the type and size of equipment the engineer is permitted to operate without supervision. Many employers require stationary engineers and boiler operators to demonstrate competency through licenses or company-specific exams before they are allowed to operate the equipment without supervision.
","Generally, stationary engineers and boiler operators can advance as they become qualified to operate larger, more powerful, and more varied equipment by obtaining higher class licenses. In jurisdictions where licenses are not required, workers usually advance by taking company-administered exams, ensuring a level of knowledge needed to operate different types of boilers safely.
","Detail oriented.Stationary engineers and boiler operators monitor intricate machinery, gauges, and meters to ensure that everything is operating properly.
",Stationary engineers and boiler operators
"Water and wastewater treatment plant and system operators typically need a high school diploma or equivalent to become operators. Employers may prefer applicants who have completed a certificate, an associate’s, or a bachelor’s degree program in a related field such as environmental science or wastewater treatment technology.
",,"Water and wastewater treatment plant and system operators must be licensed by the state in which they work. Requirements and standards vary widely depending on the state.
","Most states have multiple levels of licenses for water and wastewater treatment plant and system operators. Each increase in license level allows the operator to perform more complicated processes without supervision.
","Analytical skills.Water and wastewater treatment plant and system operators must conduct tests and inspections on water or wastewater and evaluate the results.
",Water and wastewater treatment plant and system operators
"Quality control inspectors typically need a high school diploma for entry-level jobs. Postsecondary certificate programs are available for instruction on quality control concepts, such as inspection planning and auditing. Students in these programs also gain familiarity with tools and technologies that quality control inspectors use.
",,"TheAmerican Society for Quality(ASQ) offers various certifications, including a designation forCertified Quality Inspector(CQI), and various levels ofSix Sigma certifications. Although optional, certification may demonstrate a level of competence and professionalism that makes candidates more attractive to employers. It also may increase opportunities for advancement. Requirements for certification generally include a certain number of years of experience in the field and passing an exam.
",,"Detail oriented.Quality control inspectors must be able to focus to notice flaws or deficiencies in finished products or materials.
","Inspectors, testers, sorters, samplers, and weighers"
"Jewelers and precious stone and metal workers typically need a high school diploma, although some employers hire candidates who do not have formal education and others may require or prefer education beyond high school.
",,"Jewelers and precious stone and metal workers may choose to earn professional certification. Although typically optional, certification demonstrates expertise in a particular area of work, such as gemology.
","As their responsibilities increase, jewelers may progress through a series of jobs that culminate in high-level positions, such as master jeweler or head jeweler. Those who work in jewelry stores or repair shops may become managers.
","Creativity.Jewelers must have the ability to design unique and beautiful pieces.
",Jewelers and precious stone and metal workers
"Dental and ophthalmic laboratory technicians and medical appliance technicians typically need at least a high school diploma or equivalent. High school students interested in becoming a dental or ophthalmic laboratory technician or medical appliance technician may benefit from taking classes in science, mathematics, and art.
",,"Although optional, certification may demonstrate a level of competence and professionalism that makes candidates more attractive to employers. It also may increase opportunities for advancement.
","In large facilities, dental and ophthalmic laboratory technicians and medical appliance technicians may work their way up to a supervisory level and train new technicians. Some go on to own their own laboratory.
","Detail oriented.Dental and ophthalmic laboratory technicians and medical appliance technicians must follow work orders and prescriptions precisely. They also need to be able to recognize and correct any imperfections in their work.
",Dental laboratory technicians
"Dental and ophthalmic laboratory technicians and medical appliance technicians typically need at least a high school diploma or equivalent. High school students interested in becoming a dental or ophthalmic laboratory technician or medical appliance technician may benefit from taking classes in science, mathematics, and art.
",,"Although optional, certification may demonstrate a level of competence and professionalism that makes candidates more attractive to employers. It also may increase opportunities for advancement.
","In large facilities, dental and ophthalmic laboratory technicians and medical appliance technicians may work their way up to a supervisory level and train new technicians. Some go on to own their own laboratory.
","Detail oriented.Dental and ophthalmic laboratory technicians and medical appliance technicians must follow work orders and prescriptions precisely. They also need to be able to recognize and correct any imperfections in their work.
",Medical appliance technicians
"Dental and ophthalmic laboratory technicians and medical appliance technicians typically need at least a high school diploma or equivalent. High school students interested in becoming a dental or ophthalmic laboratory technician or medical appliance technician may benefit from taking classes in science, mathematics, and art.
",,"Although optional, certification may demonstrate a level of competence and professionalism that makes candidates more attractive to employers. It also may increase opportunities for advancement.
","In large facilities, dental and ophthalmic laboratory technicians and medical appliance technicians may work their way up to a supervisory level and train new technicians. Some go on to own their own laboratory.
","Detail oriented.Dental and ophthalmic laboratory technicians and medical appliance technicians must follow work orders and prescriptions precisely. They also need to be able to recognize and correct any imperfections in their work.
",Ophthalmic laboratory technicians
"Painting and coating workers usually need a high school diploma or equivalent for entry-level positions. However, some employers hire candidates who do not have formal educational credentials.
",,,,"Artistic ability.Some painting and coating workers make elaborate or decorative designs.
","Painting, coating, and decorating workers"
"Painting and coating workers usually need a high school diploma or equivalent for entry-level positions. However, some employers hire candidates who do not have formal educational credentials.
",,,,"Artistic ability.Some painting and coating workers make elaborate or decorative designs.
","Coating, painting, and spraying machine setters, operators, and tenders"
"Semiconductor processing technicians typically need a high school diploma to enter the occupation. High school students interested in becoming semiconductor processing technicians should take classes in mathematics, science, and electronics.
",,,,"Communication skills.Semiconductor processing technicians must be able to clearly convey to engineers and others their recommendations for improving the manufacturing process.
",Semiconductor processing technicians
"Airline pilots typically need a bachelor’s degree in anyfield, includingtransportation,engineering, orbusiness. They also complete flight training with independent FAA-certified flight instructors or at schools that offer flight training.
","Airline pilots typically need work experience as a commercial ormilitarypilot.
","Those who are seeking a career as a professional pilot must meet FAA requirements. Pilots typically get their FAA-issued certificates and ratings in the following order:
","Commercial pilots may advance to airline pilots after completing a degree, accruing required flight time, and obtaining an ATP certificate.
","Communication skills.Pilots must speak clearly when conveying information to air traffic controllers and other crew members. They must also listen carefully for instructions.
","Airline pilots, copilots, and flight engineers"
"Airline pilots typically need a bachelor’s degree in anyfield, includingtransportation,engineering, orbusiness. They also complete flight training with independent FAA-certified flight instructors or at schools that offer flight training.
","Airline pilots typically need work experience as a commercial ormilitarypilot.
","Those who are seeking a career as a professional pilot must meet FAA requirements. Pilots typically get their FAA-issued certificates and ratings in the following order:
","Commercial pilots may advance to airline pilots after completing a degree, accruing required flight time, and obtaining an ATP certificate.
","Communication skills.Pilots must speak clearly when conveying information to air traffic controllers and other crew members. They must also listen carefully for instructions.
",Commercial pilots
"Air traffic controllers typically need an associate's or a bachelor's degree. To qualify with an associate's degree, candidates must complete their studies in an AT-CTI program. A bachelor's degree may be in anyfield, includingtransportation,business, orengineering.
","Air traffic controllers sometimes qualify through work experience instead of a degree. Candidates either need up to 3 years of progressively responsible generalized work experience that demonstrates the potential for learning and performing air traffic control work or must have specialized work experience in a military or civilian air traffic control facility.
","All air traffic controllers must hold an Air Traffic Control Tower Operator Certificate or be appropriately qualified and supervised as stated inTitle 14 of the Code of Federal Regulations, Part 65.
",,"Communication skills.Air traffic controllers must be able to give clear, concise instructions, listen carefully to pilots’ requests, and respond by speaking clearly in English.
",Air traffic controllers
"A high school diploma is typically required to become a flight attendant. Some airlines may prefer to hire applicants who have taken some college courses or who have a collegedegree.
","Flight attendants typically need 1 or 2 years of work experience in a service occupation before getting their first job as a flight attendant. This experience may include customer service positions in restaurants, hotels, or resorts. Experience in sales or in other positions that require close contact with the public and focus on service to customers also may help develop the skills needed to be a successful flight attendant.
","All flight attendants must be certified by the FAA. To become certified, flight attendants must complete their employer’s initial training program and pass an exam. Flight attendants are certified for specific types of aircraft and must take new training for each type of aircraft on which they are to work. In addition, attendants receive recurrent training every year to maintain their certification.
","Career advancement is based on seniority. On international flights, senior attendants frequently oversee the work of other attendants. Senior attendants may be promoted to management positions in which they are responsible for recruiting, instructing, and scheduling.
","Attentiveness.Flight attendants must be aware of security or safety risks during the flight. They also must be attentive to passengers’ needs in order to ensure a pleasant travel experience.
",Flight attendants
"Delivery truck drivers and driver/sales workers typically enter the occupation with a high school diploma or equivalent.
","Some delivery drivers begin as package loaders at warehouse facilities, especially if the driver works for a large company. For more information, see the profile onhand laborers and material movers.
","All delivery drivers need a driver’s license.
",,"Customer-service skills.When completing deliveries, drivers often interact with customers and should make a good impression to ensure repeat business.
",Driver/sales workers
"Most companies require their truck drivers to have a high school diploma or equivalent.
",,"All long-haul truck drivers must have a commercial driver’s license (CDL). Qualifications for obtaining a CDL vary by state but generally include passing both a knowledge test and a driving test. States have the right to refuse to issue a CDL to anyone who has had a CDL suspended by another state.
",,"Hand-eye coordination.Drivers of heavy trucks and tractor-trailers must be able to coordinate their legs, hands, and eyes simultaneously so that they will react appropriately to the situation around them and drive the vehicle safely.
",Heavy and tractor-trailer truck drivers
"Delivery truck drivers and driver/sales workers typically enter the occupation with a high school diploma or equivalent.
","Some delivery drivers begin as package loaders at warehouse facilities, especially if the driver works for a large company. For more information, see the profile onhand laborers and material movers.
","All delivery drivers need a driver’s license.
",,"Customer-service skills.When completing deliveries, drivers often interact with customers and should make a good impression to ensure repeat business.
",Light truck drivers
"Bus drivers typically need a high school diploma or equivalent.
",,"All bus drivers must have a CDL. Some new bus drivers earn their CDL during on-the-job training. Qualifications vary by state but generally include passing both knowledge and driving tests. States have the right not to issue a license to someone who has had a CDL suspended in another state.
",,"Customer-service skills.Bus drivers regularly interact with passengers and must be courteous and helpful.
","Bus drivers, school"
"Bus drivers typically need a high school diploma or equivalent.
",,"All bus drivers must have a CDL. Some new bus drivers earn their CDL during on-the-job training. Qualifications vary by state but generally include passing both knowledge and driving tests. States have the right not to issue a license to someone who has had a CDL suspended in another state.
",,"Customer-service skills.Bus drivers regularly interact with passengers and must be courteous and helpful.
","Bus drivers, transit and intercity"
"Taxi drivers, shuttle drivers, and chauffeurs typically do not need formal educational credentials to enter the occupation. For drivers who are not self-employed, however, companies may prefer to hire drivers who have a high school diploma or postsecondary education.
",,"All taxi drivers, shuttle drivers, and chauffeurs must have a driver’s license. States and local municipalities set other requirements; check with your state or local agency for more information.
","Some taxi drivers start their own cab service by purchasing a taxi rather than leasing one through a dispatch company. Chauffeurs may advance with increased responsibilities or experiences, such as driving high-profile clients or different types of cars.
","Customer-service skills.Taxi drivers, shuttle drivers, and chauffeurs regularly interact with their passengers and should be courteous and helpful. For ride-hailing drivers, excellent customer-service skills may lead to favorable ratings from passengers.
",Shuttle drivers and chauffeurs
"Taxi drivers, shuttle drivers, and chauffeurs typically do not need formal educational credentials to enter the occupation. For drivers who are not self-employed, however, companies may prefer to hire drivers who have a high school diploma or postsecondary education.
",,"All taxi drivers, shuttle drivers, and chauffeurs must have a driver’s license. States and local municipalities set other requirements; check with your state or local agency for more information.
","Some taxi drivers start their own cab service by purchasing a taxi rather than leasing one through a dispatch company. Chauffeurs may advance with increased responsibilities or experiences, such as driving high-profile clients or different types of cars.
","Customer-service skills.Taxi drivers, shuttle drivers, and chauffeurs regularly interact with their passengers and should be courteous and helpful. For ride-hailing drivers, excellent customer-service skills may lead to favorable ratings from passengers.
",Taxi drivers
"Rail companies typically require workers to have at least a high school diploma or equivalent. However, employers may prefer to hire workers who have postsecondary education, such as coursework, a certificate, or an associate’s or bachelor’s degree.
","Most locomotive engineers first work as conductors or yardmasters for several years.
","Locomotive engineers and conductors must be certified by theFederal Railroad Administration(FRA). The certifications, conducted by the railroad that employs them, involve a written knowledge test, a skills test, and a supervisor determination that the engineer or conductor understands all physical aspects of the particular route on which he or she will be operating.
","Rail yard engineers, switch operators, and signal operators may advance to become conductors or yardmasters.
","Communication skills.Railroad workers must be able to communicate with other crewmembers, dispatchers, and passengers to ensure safety and keep the trains on schedule.
",Locomotive engineers
"Rail companies typically require workers to have at least a high school diploma or equivalent. However, employers may prefer to hire workers who have postsecondary education, such as coursework, a certificate, or an associate’s or bachelor’s degree.
","Most locomotive engineers first work as conductors or yardmasters for several years.
","Locomotive engineers and conductors must be certified by theFederal Railroad Administration(FRA). The certifications, conducted by the railroad that employs them, involve a written knowledge test, a skills test, and a supervisor determination that the engineer or conductor understands all physical aspects of the particular route on which he or she will be operating.
","Rail yard engineers, switch operators, and signal operators may advance to become conductors or yardmasters.
","Communication skills.Railroad workers must be able to communicate with other crewmembers, dispatchers, and passengers to ensure safety and keep the trains on schedule.
","Rail yard engineers, dinkey operators, and hostlers"
"Rail companies typically require workers to have at least a high school diploma or equivalent. However, employers may prefer to hire workers who have postsecondary education, such as coursework, a certificate, or an associate’s or bachelor’s degree.
","Most locomotive engineers first work as conductors or yardmasters for several years.
","Locomotive engineers and conductors must be certified by theFederal Railroad Administration(FRA). The certifications, conducted by the railroad that employs them, involve a written knowledge test, a skills test, and a supervisor determination that the engineer or conductor understands all physical aspects of the particular route on which he or she will be operating.
","Rail yard engineers, switch operators, and signal operators may advance to become conductors or yardmasters.
","Communication skills.Railroad workers must be able to communicate with other crewmembers, dispatchers, and passengers to ensure safety and keep the trains on schedule.
","Railroad brake, signal, and switch operators and locomotive firers"
"Rail companies typically require workers to have at least a high school diploma or equivalent. However, employers may prefer to hire workers who have postsecondary education, such as coursework, a certificate, or an associate’s or bachelor’s degree.
","Most locomotive engineers first work as conductors or yardmasters for several years.
","Locomotive engineers and conductors must be certified by theFederal Railroad Administration(FRA). The certifications, conducted by the railroad that employs them, involve a written knowledge test, a skills test, and a supervisor determination that the engineer or conductor understands all physical aspects of the particular route on which he or she will be operating.
","Rail yard engineers, switch operators, and signal operators may advance to become conductors or yardmasters.
","Communication skills.Railroad workers must be able to communicate with other crewmembers, dispatchers, and passengers to ensure safety and keep the trains on schedule.
",Railroad conductors and yardmasters
"Sailors and marine oilers typically do not need a formal educational credential to enter the occupation. Other water transportation workers completeU.S. Coast Guard-approved training programs.
","With the exception of sailors and marine oilers, water transportation workers typically need several years of maritime experience to enter these occupations. Workers require this experience, commonly known as “sea time,” to advance from lower level positions into higher level ones.
","The USCG and TSA have specific requirements for many water transportation workers. These requirements may include passing a security or drug screening, completing approved training, or passing written and physical examinations. Workers in some occupations, such as maritime pilots, also may need a license issued by their state.
",,"Customer-service skills.Water transportation workers may interact with passengers and must ensure that the passengers have a pleasant experience.
",Sailors and marine oilers
